,City,Cloudiness,Country,Date,Humidity,Temp,Lat,Lng,Wind Speed
0,namibe,0,AO,1547442796,100,70.88,-15.19,12.15,5.39
1,gloucester,90,GB,1547441760,67,45.68,51.87,-2.25,10.29
2,pinega,64,RU,1547443091,81,18.86,64.7,43.39,5.39
3,ushuaia,92,AR,1547443091,83,46.13,-54.81,-68.31,13.56
4,plettenberg bay,0,ZA,1547442511,100,66.83,-34.05,23.37,3.71
5,tuatapere,0,NZ,1547442529,93,57.29,-46.13,167.69,6.85
6,rikitea,88,PF,1547443092,97,79.88,-23.12,-134.97,12.33
7,guerrero negro,100,MX,1547442451,92,58.19,27.97,-114.04,4.16
8,dikson,80,RU,1547442494,92,0.95,73.51,80.55,30.33
9,butaritari,80,KI,1547442367,100,84.65,3.07,172.79,16.8
10,kangaatsiaq,32,GL,1547443093,100,1.31,68.31,-53.46,11.65
11,wattegama,36,LK,1547443093,83,81.95,7.35,80.68,4.72
12,takoradi,76,GH,1547442860,100,82.04,4.89,-1.75,9.64
13,kawalu,92,ID,1547443094,95,73.13,-7.38,108.21,1.36
14,tiksi,12,RU,1547442541,0,-37.67,71.64,128.87,2.59
15,saint george,0,GR,1547441400,79,28.4,39.45,22.34,6.93
16,geraldton,90,CA,1547440740,86,26.6,49.72,-86.95,11.41
17,erzurum,90,TR,1547441400,92,17.6,39.91,41.27,2.24
18,busselton,0,AU,1547443096,79,75.02,-33.64,115.35,9.98
19,cherskiy,12,RU,1547442496,0,-29.12,68.75,161.3,3.94
20,matagami,8,NG,1547442891,52,60.35,9.67,8.4,4.27
21,vaini,0,IN,1547442000,31,78.8,15.34,74.49,3.36
22,port-gentil,40,GA,1547442000,94,78.8,-0.72,8.78,3.36
23,hermanus,68,ZA,1547443097,87,60.53,-34.42,19.24,3.15
24,kokopo,64,PG,1547443097,100,81.86,-4.34,152.27,3.6
25,poum,68,MK,1547443097,55,4.01,41.28,20.71,1.92
26,ucluelet,0,CA,1547443098,95,35.06,48.94,-125.55,1.92
27,chokurdakh,24,RU,1547442754,42,-26.6,70.62,147.9,3.49
28,hami,0,CN,1547442803,65,27.23,42.84,93.51,7.4
29,koygorodok,80,RU,1547443098,79,17.96,60.44,51.01,7.18
30,imbituba,40,BR,1547442000,94,77.0,-28.24,-48.67,6.93
31,bluff,0,AU,1547442483,32,93.92,-23.58,149.07,14.56
32,clyde river,90,CA,1547440860,66,-31.01,70.47,-68.59,4.7
33,punta arenas,75,CL,1547442000,71,50.0,-53.16,-70.91,4.7
34,coquimbo,0,CL,1547438400,82,60.8,-29.95,-71.34,3.36
35,provideniya,90,RU,1547438400,77,5.0,64.42,-173.23,22.37
36,palafrugell,0,ES,1547440200,86,41.0,41.92,3.16,3.36
37,sao filipe,48,CV,1547442518,99,71.78,14.9,-24.5,12.44
38,te anau,0,NZ,1547442544,55,62.96,-45.41,167.72,3.71
39,fernley,1,US,1547441760,60,33.08,39.61,-119.25,2.48
40,upernavik,20,GL,1547442507,100,-11.39,72.79,-56.15,5.61
41,margate,0,AU,1547440200,34,78.8,-43.03,147.26,14.99
42,luderitz,0,NA,1547442750,88,61.16,-26.65,15.16,12.1
43,bredasdorp,88,ZA,1547442000,64,68.0,-34.53,20.04,2.24
44,kungurtug,0,RU,1547443102,46,-1.22,50.6,97.53,1.81
45,vardo,90,US,1547441700,92,30.2,39.62,-77.74,4.7
46,souillac,90,FR,1547440200,93,48.2,45.6,-0.6,8.05
47,tasiilaq,32,GL,1547441400,78,12.2,65.61,-37.64,3.36
48,nikolskoye,75,RU,1547440200,92,28.4,59.7,30.79,8.95
49,muros,90,ES,1547440200,87,44.6,42.77,-9.06,4.7
50,puma,56,TZ,1547443104,97,63.68,-5.0,34.76,4.72
51,grand gaube,75,MU,1547438400,66,84.2,-20.01,57.66,11.41
52,gazli,76,UZ,1547442787,61,49.01,40.13,63.45,20.71
53,cabo san lucas,5,MX,1547440800,56,68.0,22.89,-109.91,9.17
54,salalah,20,OM,1547441400,64,75.2,17.01,54.1,3.36
55,roald,75,NO,1547441400,74,35.6,62.58,6.12,35.57
56,isangel,80,VU,1547443105,100,79.25,-19.55,169.27,15.12
57,atuona,44,PF,1547442520,99,81.68,-9.8,-139.03,15.12
58,hammerfest,0,NO,1547437800,85,19.4,70.66,23.68,4.7
59,coihaique,0,CL,1547442000,62,51.8,-45.58,-72.07,6.93
60,preobrazheniye,0,RU,1547443106,65,30.47,42.9,133.91,2.59
61,kapaa,75,US,1547441760,78,75.02,22.08,-159.32,6.93
62,hobart,0,AU,1547440200,34,78.8,-42.88,147.33,14.99
63,hilo,90,US,1547441580,75,73.04,19.71,-155.08,5.82
64,maldonado,90,UY,1547442000,94,69.8,-34.91,-54.96,5.82
65,mataura,0,NZ,1547443107,70,63.5,-46.19,168.86,6.17
66,bustamante,64,MX,1547443108,91,39.29,26.53,-100.51,2.59
67,charters towers,88,AU,1547443108,62,84.38,-20.07,146.27,12.88
68,yining,92,CN,1547442866,97,44.69,29.04,114.56,3.27
69,kruisfontein,0,ZA,1547442533,85,68.63,-34.0,24.73,5.17
70,port augusta,0,AU,1547438400,22,98.6,-32.49,137.76,10.29
71,chuy,92,UY,1547442660,98,71.78,-33.69,-53.46,8.75
72,kodiak,90,US,1547440500,79,28.04,39.95,-94.76,3.36
73,ilulissat,24,GL,1547441400,58,-5.81,69.22,-51.1,2.24
74,chernenko,80,UA,1547443110,88,22.82,47.23,37.74,7.96
75,igrim,80,RU,1547443110,85,16.7,63.19,64.42,6.4
76,thinadhoo,100,MV,1547442483,100,81.95,0.53,72.93,8.97
77,anuchino,76,RU,1547443111,73,26.69,43.97,133.06,2.93
78,albany,1,US,1547441820,72,10.94,42.65,-73.75,5.82
79,baykit,92,RU,1547442543,62,-8.6,61.68,96.39,3.6
80,kenora,90,CA,1547441760,92,21.2,49.76,-94.48,3.6
81,arraial do cabo,0,BR,1547442524,89,75.47,-22.97,-42.02,12.66
82,gueret,90,FR,1547440200,100,42.8,46.17,1.87,9.17
83,katsuura,20,JP,1547442000,57,51.8,33.93,134.5,10.29
84,susangerd,90,IR,1547442000,82,59.0,31.56,48.19,6.93
85,sahuaripa,32,MX,1547443113,78,42.44,29.05,-109.23,1.92
86,kudahuvadhoo,56,MV,1547442483,100,81.59,2.67,72.89,14.34
87,kahului,40,US,1547441760,68,77.0,20.89,-156.47,4.7
88,esperance,20,TT,1547442000,94,68.0,10.24,-61.45,4.05
89,peniche,0,PT,1547440200,93,39.2,39.36,-9.38,4.05
90,letlhakane,20,BW,1547443114,82,74.75,-21.42,25.59,9.64
91,morant bay,20,JM,1547442000,73,75.2,17.88,-76.41,6.93
92,avarua,75,CK,1547442000,78,80.6,-21.21,-159.78,10.29
93,merauke,80,ID,1547443115,93,83.03,-8.49,140.4,7.29
94,nara,20,JP,1547442000,43,53.6,34.68,135.8,3.36
95,cayenne,20,GF,1547440200,94,73.4,4.94,-52.33,1.12
96,nhulunbuy,40,AU,1547440200,83,82.4,-12.18,136.78,6.93
97,caravelas,88,BR,1547443116,100,80.06,-17.73,-39.27,9.08
98,campo maior,0,ES,1547443117,65,22.91,39.01,-7.07,2.82
99,wanlaweyn,0,SO,1547443117,58,80.6,2.62,44.89,13.78
100,fare,68,PF,1547443117,100,82.49,-16.7,-151.02,18.25
101,puerto ayora,56,EC,1547442845,100,75.83,-0.74,-90.35,7.63
102,necochea,88,AR,1547442897,97,65.3,-38.55,-58.74,7.74
103,diego de almagro,0,CL,1547443119,80,51.53,-26.39,-70.05,2.59
104,husavik,76,CA,1547442542,80,11.93,50.56,-96.99,9.98
105,fairbanks,1,US,1547441880,79,-7.07,64.84,-147.72,2.93
106,carnarvon,0,ZA,1547442533,44,62.78,-30.97,22.13,4.61
107,jorochito,75,BO,1547442000,94,73.4,-18.06,-63.43,8.05
108,khatanga,44,RU,1547443120,41,-26.33,71.98,102.47,11.43
109,cabedelo,40,BR,1547438400,94,77.0,-6.97,-34.84,5.82
110,dunedin,0,NZ,1547442524,81,57.56,-45.87,170.5,11.21
111,road town,1,VG,1547441580,84,73.94,18.42,-64.62,14.45
112,victoria,75,BN,1547440200,66,89.6,5.28,115.24,3.36
113,jamestown,0,AU,1547442927,49,96.71,-33.21,138.6,3.83
114,assiniboia,0,CA,1547443122,79,15.71,49.63,-105.99,3.04
115,new norfolk,0,AU,1547440200,34,78.8,-42.78,147.06,14.99
116,san patricio,12,PY,1547443122,89,77.18,-26.98,-56.83,3.6
117,hambantota,75,LK,1547439000,79,84.2,6.12,81.12,13.87
118,narasannapeta,8,IN,1547442772,52,82.58,18.42,84.04,3.71
119,puerto madryn,0,AR,1547443123,80,63.59,-42.77,-65.04,20.49
120,portland,1,US,1547441580,67,44.06,45.52,-122.67,9.17
121,omboue,92,GA,1547443124,100,79.25,-1.57,9.26,1.14
122,vondrozo,100,MG,1547443124,100,75.83,-22.82,47.32,4.27
123,walvis bay,90,NA,1547442000,88,66.2,-22.95,14.51,3.36
124,yanam,0,IN,1547442000,73,75.2,16.73,82.22,4.7
125,saldanha,0,PT,1547443125,75,19.85,41.42,-6.55,2.71
126,east london,20,ZA,1547442000,72,68.0,-33.02,27.91,5.82
127,santa cruz del norte,20,CU,1547441700,93,66.2,23.15,-81.92,3.36
128,port alfred,48,ZA,1547442938,91,69.53,-33.59,26.89,5.61
129,poronaysk,0,RU,1547443127,76,13.1,49.22,143.1,2.48
130,novonukutskiy,0,RU,1547443127,64,-4.19,53.7,102.71,4.38
131,yellowknife,5,CA,1547438400,66,-29.21,62.45,-114.38,8.05
132,san pedro,92,AR,1547443129,100,69.89,-33.68,-59.66,4.94
133,severo-kurilsk,32,RU,1547442770,100,29.75,50.68,156.12,6.85
134,manacor,0,ES,1547440200,87,50.0,39.57,3.21,9.17
135,santa isabel do rio negro,76,BR,1547443129,100,72.59,-0.41,-65.02,2.37
136,mar del plata,0,AR,1547443130,44,58.19,-46.43,-67.52,7.4
137,saskylakh,0,RU,1547443130,0,-56.03,71.97,114.09,8.08
138,floro,40,NO,1547441400,100,32.0,61.6,5.03,32.21
139,sabang,76,PH,1547442689,89,78.35,13.72,123.58,13.44
140,weyburn,48,CA,1547443131,78,14.99,49.67,-103.85,5.61
141,kirakira,0,SB,1547442542,100,83.03,-10.46,161.92,7.52
142,cap malheureux,40,MU,1547442000,66,84.2,-19.98,57.61,14.99
143,acapulco,20,MX,1547440800,88,77.0,16.86,-99.88,3.36
144,nacala,76,MZ,1547443132,95,81.5,-14.56,40.69,8.75
145,grindavik,75,IS,1547442000,80,30.2,63.84,-22.43,13.87
146,santa cecilia,88,CO,1547443133,97,63.5,5.35,-76.12,1.25
147,rundu,80,NA,1547443133,72,72.23,-17.91,19.77,7.96
148,lagoa,0,PT,1547440200,75,41.0,37.14,-8.45,8.05
149,deputatskiy,44,RU,1547443134,44,-28.67,69.3,139.9,3.49
150,georgetown,0,GY,1547442000,94,71.6,6.8,-58.16,4.7
151,coahuayana,36,MX,1547443134,73,61.79,18.62,-100.35,4.61
152,pochutla,0,MX,1547443135,100,78.26,15.74,-96.47,3.83
153,qaanaaq,0,GL,1547443135,100,-25.43,77.48,-69.36,11.21
154,the valley,20,AI,1547438400,73,77.0,18.22,-63.06,8.05
155,saint-philippe,1,CA,1547441700,87,6.8,45.36,-73.48,2.93
156,bolobo,92,CD,1547443136,100,70.52,-2.17,16.23,5.95
157,kupino,12,RU,1547443136,78,11.12,54.36,77.31,14.67
158,mayo,5,CA,1547438400,75,-16.61,63.59,-135.9,2.24
159,ancud,0,CL,1547438400,93,46.4,-41.87,-73.83,4.7
160,portoferraio,0,IT,1547443137,99,58.73,42.81,10.31,12.44
161,bethel,20,US,1547441760,81,35.96,60.79,-161.76,13.87
162,celestun,0,MX,1547442881,99,74.21,20.87,-90.4,17.58
163,irece,0,BR,1547443138,73,69.26,-11.3,-41.86,8.75
164,cidreira,32,BR,1547443139,97,74.93,-30.17,-50.22,8.19
165,lichuan,76,CN,1547443139,82,42.89,30.3,108.94,2.48
166,lamar,90,US,1547437980,95,32.0,38.09,-102.62,6.93
167,tuktoyaktuk,40,CA,1547438400,75,-20.21,69.44,-133.03,20.8
168,pervomayskoye,88,RU,1547443140,89,13.28,57.07,86.23,11.99
169,san jeronimo,92,PE,1547443141,97,43.61,-13.65,-73.37,2.04
170,douentza,0,ML,1547443141,65,48.38,15.01,-2.95,4.16
171,bennington,1,US,1547441640,79,10.94,42.88,-73.2,1.48
172,goulburn,0,AU,1547443142,57,87.26,-34.75,149.72,5.17
173,srivardhan,0,IN,1547443142,59,84.29,18.03,73.02,1.81
174,buala,100,SB,1547443142,88,82.94,-8.15,159.59,9.08
175,barrow,92,AR,1547443143,98,63.86,-38.31,-60.23,7.52
176,teruel,0,ES,1547440200,92,60.8,40.34,-1.11,11.41
177,mayakonda,0,IN,1547443143,59,76.73,14.29,76.08,9.86
178,vao,92,EE,1547442675,98,31.82,59.1,26.19,6.96
179,nyaunglebin,20,MM,1547443144,68,85.28,17.95,96.73,4.27
180,baruun-urt,12,MN,1547442555,40,-0.5,46.68,113.28,16.8
181,shaunavon,0,CA,1547443144,73,15.26,49.65,-108.41,5.17
182,whyalla,12,AU,1547438400,22,98.6,-33.04,137.58,10.29
183,kavieng,68,PG,1547443145,100,83.75,-2.57,150.8,12.21
184,airai,80,TL,1547442890,95,72.59,-8.93,125.41,1.92
185,chippewa falls,90,US,1547442900,77,29.66,44.94,-91.39,4.7
186,mount gambier,36,AU,1547438400,38,87.8,-37.83,140.78,9.17
187,west wendover,90,US,1547441760,84,24.98,40.74,-114.07,3.36
188,ferme-neuve,8,CA,1547443146,63,-8.33,46.7,-75.45,3.6
189,komsomolskiy,64,RU,1547442804,81,5.45,67.55,63.78,11.99
190,bambous virieux,75,MU,1547438400,66,84.2,-20.34,57.76,11.41
191,xining,36,CN,1547442776,48,21.65,36.62,101.77,2.82
192,bull savanna,20,JM,1547443147,88,64.94,17.89,-77.59,2.37
193,diebougou,0,BF,1547442801,39,59.27,10.97,-3.25,7.07
194,trofors,90,NO,1547441400,92,26.6,65.54,13.39,4.7
195,kiunga,92,PG,1547443145,92,79.25,-6.12,141.3,2.82
196,daur,0,PK,1547442000,66,55.4,26.46,68.32,4.7
197,hualmay,48,PE,1547442800,94,62.33,-11.1,-77.61,5.06
198,haines junction,32,CA,1547443149,39,-14.45,60.75,-137.51,1.92
199,thompson,5,CA,1547438400,70,-0.41,55.74,-97.86,5.82
200,port hedland,0,AU,1547440200,59,93.2,-20.31,118.58,25.28
201,jose de freitas,20,BR,1547442000,94,73.4,-4.76,-42.58,2.24
202,cape town,0,ZA,1547442000,82,60.8,-33.93,18.42,3.36
203,raudeberg,40,NO,1547441400,97,33.8,61.99,5.14,32.21
204,oneonta,0,US,1547443129,72,0.05,42.45,-75.06,2.37
205,lorengau,80,PG,1547443151,96,84.38,-2.02,147.27,14.56
206,codrington,40,AU,1547442000,48,87.8,-28.95,153.24,12.75
207,exeter,75,GB,1547441400,75,46.4,50.73,-3.53,11.41
208,sompeta,12,IN,1547443152,53,80.15,18.93,84.6,3.27
209,brae,32,GB,1547441400,64,35.6,60.4,-1.35,23.04
210,chiredzi,8,ZW,1547443152,54,88.16,-21.05,31.67,4.61
211,senador jose porfirio,20,BR,1547443153,97,76.19,-2.59,-51.95,4.05
212,durango,90,US,1547442240,100,32.0,37.28,-107.88,4.7
213,oskaloosa,90,US,1547441640,81,30.92,39.22,-95.31,2.15
214,lebu,0,ET,1547443154,24,57.74,8.96,38.73,5.06
215,leningradskiy,20,RU,1547442780,100,-17.33,69.38,178.42,8.63
216,yagodnoye,44,RU,1547443154,57,-21.65,62.52,149.63,2.04
217,xuddur,0,SO,1547442895,54,74.3,4.12,43.89,14.12
218,fortuna,0,ES,1547440200,73,50.0,38.18,-1.13,11.41
219,yangambi,92,CD,1547443155,94,73.31,0.77,24.47,3.27
220,mildura,0,AU,1547442000,6,107.6,-34.18,142.16,10.29
221,san joaquin,20,PH,1547443156,59,85.19,10.59,122.14,17.36
222,port elizabeth,90,US,1547441760,66,30.02,39.31,-74.98,14.99
223,jais,0,IN,1547443156,91,63.86,26.27,81.55,9.19
224,prokopyevsk,0,RU,1547443157,59,-2.03,53.89,86.74,3.27
225,kadaya,32,RU,1547443157,54,2.48,50.93,119.29,11.32
226,mana,75,RS,1547442000,92,28.4,43.52,20.24,3.36
227,banjarmasin,40,ID,1547440200,52,93.2,-3.32,114.59,9.17
228,ribeira grande,44,PT,1547443158,100,61.07,38.52,-28.7,12.21
229,pisco,0,PE,1547442000,88,69.8,-13.71,-76.2,12.75
230,misratah,32,LY,1547443159,100,52.43,32.38,15.09,25.52
231,goderich,0,CA,1547443159,81,6.08,43.74,-81.71,4.72
232,blackwater,40,GB,1547441400,75,48.2,51.33,-0.78,12.75
233,gorom-gorom,0,BF,1547443160,39,55.58,14.45,-0.24,9.08
234,birjand,40,IR,1547442000,20,46.4,32.86,59.22,20.8
235,carmen,8,PH,1547442355,45,92.75,7.2,124.8,10.65
236,kutum,0,SD,1547442895,31,50.27,14.2,24.66,7.96
237,tera,20,CY,1547440200,87,46.4,34.97,32.42,8.05
238,ponta do sol,48,BR,1547443161,95,65.03,-20.63,-46.0,2.48
239,padang,20,ID,1547438400,70,86.0,-0.92,100.36,3.36
240,mehamn,20,NO,1547441400,85,24.8,71.03,27.85,4.7
241,belmonte,0,PT,1547442810,75,22.55,40.36,-7.35,2.82
242,ahipara,92,NZ,1547443162,85,66.11,-35.17,173.16,15.79
243,betafo,12,MG,1547443163,95,69.89,-19.84,46.86,4.05
244,endicott,1,US,1547441700,75,10.94,42.1,-76.05,6.93
245,buchanan,40,LR,1547442000,94,75.2,5.88,-10.05,7.96
246,pervomayskiy,76,RU,1547443164,88,22.64,53.24,40.29,15.57
247,baker city,90,US,1547441580,81,28.94,44.77,-117.83,6.93
248,yahotyn,0,UA,1547442000,85,19.4,50.28,31.76,13.42
249,burns lake,88,CA,1547442876,97,24.08,54.23,-125.76,2.71
250,namwala,56,ZM,1547443165,97,70.16,-15.75,26.45,10.76
251,kostyantynivka,76,UA,1547443165,89,21.38,48.53,37.71,11.65
252,pokrovskoye,64,RU,1547443165,85,20.48,47.41,38.9,6.17
253,ossora,24,RU,1547443166,82,-5.18,59.24,163.07,4.16
254,caucaia,75,BR,1547442000,94,78.8,-3.73,-38.66,3.36
255,hervey bay,75,AU,1547438400,52,87.8,-25.3,152.85,21.92
256,xam nua,0,LA,1547443167,61,73.94,20.42,104.04,1.81
257,hithadhoo,12,MV,1547443167,100,82.13,-0.6,73.08,5.73
258,iqaluit,90,CA,1547441280,77,1.4,63.75,-68.52,21.92
259,comodoro rivadavia,0,AR,1547438400,41,59.0,-45.87,-67.48,9.42
260,mahebourg,40,MU,1547442000,66,84.2,-20.41,57.7,14.99
261,marawi,80,PH,1547442842,61,79.25,8.0,124.29,2.59
262,kannur,0,IN,1547443168,30,87.08,11.88,75.37,3.83
263,nome,1,US,1547441700,84,42.08,30.04,-94.42,4.7
264,labytnangi,76,RU,1547443169,72,8.51,66.66,66.39,9.19
265,agirish,36,RU,1547443169,78,17.06,61.92,63.02,6.17
266,chicama,20,PE,1547442000,88,69.8,-7.84,-79.15,11.41
267,rio grande,80,BR,1547443170,96,76.1,-32.03,-52.1,9.98
268,conakry,8,GN,1547443170,100,80.51,9.52,-13.7,8.75
269,alofi,0,NU,1547442000,78,82.4,-19.06,-169.92,11.41
270,otofuke,20,JP,1547442000,53,23.0,43.02,143.2,3.36
271,abha,0,SA,1547442000,51,60.8,18.22,42.5,3.36
272,praia,0,BR,1547443171,94,62.06,-20.25,-43.81,5.84
273,novaya mayna,75,RU,1547442000,84,5.0,54.15,49.76,7.29
274,tura,0,IN,1547443172,70,71.42,25.52,90.21,2.37
275,ambilobe,32,MG,1547442820,100,79.61,-13.19,49.05,4.38
276,apache junction,1,US,1547441760,73,53.96,33.41,-111.55,3.36
277,maniitsoq,0,GL,1547442893,100,6.98,65.42,-52.9,3.71
278,castro,0,CL,1547442000,93,44.6,-42.48,-73.76,4.7
279,pevek,0,RU,1547443173,56,-32.27,69.7,170.27,0.58
280,pekalongan,12,ID,1547443173,100,81.23,-6.89,109.67,11.99
281,saint-pierre,90,FR,1547440200,87,44.6,48.95,4.24,14.99
282,faanui,76,PF,1547443174,100,83.03,-16.48,-151.75,18.7
283,sibolga,92,ID,1547442840,97,73.67,1.74,98.78,1.14
284,bucak,75,TR,1547441400,93,46.4,37.46,30.59,3.36
285,teguldet,80,RU,1547442859,73,14.45,57.31,88.17,8.86
286,beringovskiy,68,RU,1547443175,91,-11.12,63.05,179.32,34.36
287,ust-kuyga,56,RU,1547443176,0,-35.42,70.0,135.55,4.16
288,basco,90,US,1547441700,86,28.4,40.33,-91.2,4.05
